Episode: 74, Total numsteps: 1154, Episode steps: 8, Reward: -97.98, Cost: 0

Episode: 75, Total numsteps: 1161, Episode steps: 7, Reward: -99.17, Cost: 0

Episode: 76, Total numsteps: 1170, Episode steps: 9, Reward: -97.81, Cost: 0

Episode: 77, Total numsteps: 1179, Episode steps: 9, Reward: -98.54, Cost: 0

Episode: 78, Total numsteps: 1194, Episode steps: 15, Reward: -99.16, Cost: 0

Episode: 79, Total numsteps: 1210, Episode steps: 16, Reward: -99.73, Cost: 0

Episode: 80, Total numsteps: 1216, Episode steps: 6, Reward: -98.85, Cost: 0

Episode: 81, Total numsteps: 1223, Episode steps: 7, Reward: -99.36, Cost: 0

Episode: 82, Total numsteps: 1238, Episode steps: 15, Reward: -98.98, Cost: 0

Episode: 83, Total numsteps: 1248, Episode steps: 10, Reward: -98.94, Cost: 0

Episode: 84, Total numsteps: 1257, Episode steps: 9, Reward: -98.51, Cost: 0

Episode: 85, Total numsteps: 1265, Episode steps: 8, Reward: -99.23, Cost: 0

Episode: 86, Total numsteps: 1283, Episode steps: 18, Reward: -99.67, Cost: 0

Episode: 87, Total numsteps: 1308, Episode steps: 25, Reward: -99.74, Cost: 0

Episode: 88, Total numsteps: 1324, Episode steps: 16, Reward: -99.04, Cost: 0

Episode: 89, Total numsteps: 1336, Episode steps: 12, Reward: -98.58, Cost: 0

Episode: 90, Total numsteps: 1343, Episode steps: 7, Reward: -99.38, Cost: 0

Episode: 91, Total numsteps: 1364, Episode steps: 21, Reward: -98.97, Cost: 0

Episode: 92, Total numsteps: 1379, Episode steps: 15, Reward: -99.02, Cost: 0

Episode: 93, Total numsteps: 1398, Episode steps: 19, Reward: -99.5, Cost: 0

Episode: 94, Total numsteps: 1409, Episode steps: 11, Reward: -99.77, Cost: 0

Episode: 95, Total numsteps: 1430, Episode steps: 21, Reward: -99.47, Cost: 0

Episode: 96, Total numsteps: 1436, Episode steps: 6, Reward: -99.32, Cost: 0

Episode: 97, Total numsteps: 1450, Episode steps: 14, Reward: -98.95, Cost: 0

Episode: 98, Total numsteps: 1461, Episode steps: 11, Reward: -99.52, Cost: 0

Episode: 99, Total numsteps: 1479, Episode steps: 18, Reward: -98.38, Cost: 0

Episode: 100, Total numsteps: 1501, Episode steps: 22, Reward: -99.49, Cost: 0

Episode: 101, Total numsteps: 1518, Episode steps: 17, Reward: -99.4, Cost: 0

Episode: 102, Total numsteps: 1541, Episode steps: 23, Reward: -99.77, Cost: 0

Episode: 103, Total numsteps: 1557, Episode steps: 16, Reward: -99.63, Cost: 0

Episode: 104, Total numsteps: 1575, Episode steps: 18, Reward: -99.35, Cost: 0

Episode: 105, Total numsteps: 1582, Episode steps: 7, Reward: -98.95, Cost: 0

Episode: 106, Total numsteps: 1629, Episode steps: 47, Reward: -99.44, Cost: 0

Episode: 107, Total numsteps: 1647, Episode steps: 18, Reward: -99.41, Cost: 0

Episode: 108, Total numsteps: 1664, Episode steps: 17, Reward: -99.46, Cost: 0

Episode: 109, Total numsteps: 1713, Episode steps: 49, Reward: -98.98, Cost: 0

Episode: 110, Total numsteps: 1721, Episode steps: 8, Reward: -99.32, Cost: 0

Episode: 111, Total numsteps: 1731, Episode steps: 10, Reward: -99.46, Cost: 0

Episode: 112, Total numsteps: 1733, Episode steps: 2, Reward: -98.13, Cost: 0

Episode: 113, Total numsteps: 1744, Episode steps: 11, Reward: -99.47, Cost: 0

Episode: 114, Total numsteps: 1754, Episode steps: 10, Reward: -98.65, Cost: 0

Episode: 115, Total numsteps: 1764, Episode steps: 10, Reward: -97.88, Cost: 0

Episode: 116, Total numsteps: 1775, Episode steps: 11, Reward: -99.24, Cost: 0

Episode: 117, Total numsteps: 1777, Episode steps: 2, Reward: -98.16, Cost: 0

Episode: 118, Total numsteps: 1785, Episode steps: 8, Reward: -99.46, Cost: 0

Episode: 119, Total numsteps: 1800, Episode steps: 15, Reward: -99.08, Cost: 0

Episode: 120, Total numsteps: 1807, Episode steps: 7, Reward: -99.57, Cost: 0

